age,late,normal,early
3.0,89.7,93.3,96.7
3.25,91.4,95.0,98.7
3.5,93.2,96.8,100.6
3.75,94.9,98.5,102.6
4.0,96.6,100.2,104.5
4.25,98.1,101.8,106.1
4.5,99.6,103.5,107.8
4.75,101.0,105.1,109.4
5.0,102.5,106.7,111.0
5.25,104.1,108.3,112.8
5.5,105.8,110.0,114.5
5.75,107.4,111.6,116.3
6.0,109.0,113.3,118.0
6.25,110.4,115.0,119.6
6.5,111.8,116.7,121.3
6.75,113.1,118.2,122.9
7.0,114.5,119.6,124.5
7.25,115.9,121.1,126.0
7.5,117.3,122.5,127.5
7.75,118.6,123.9,129.0
8.0,120.0,125.3,130.5
8.25,121.3,126.7,131.9
8.5,122.5,128.1,133.3
8.75,123.8,129.5,134.6
9.0,125.0,130.9,136.0
9.25,126.3,132.2,137.5
9.5,127.5,133.6,139.0
9.75,128.8,135.0,140.5
10.0,130.0,136.4,142.0
10.25,131.5,137.7,143.8
10.5,133.0,139.1,145.5
10.75,134.5,140.7,147.3
11.0,136.0,142.0,149.0
11.25,137.5,143.8,151.0
11.5,139.0,145.5,153.0
11.75,140.5,147.3,155.0
12.0,142.0,149.0,157.0
12.25,143.8,151.0,159.0
12.5,145.5,153.0,161.0
12.75,147.3,155.0,163.0
13.0,149.0,157.0,165.0
13.25,150.8,158.5,166.5
13.5,152.5,160.0,168.0
13.75,154.3,161.5,169.5
14.0,156.0,163.0,171.0
14.25,157.3,164.3,171.8
14.5,158.5,165.5,172.5
14.75,159.8,166.8,173.3
15.0,161.0,168.0,174.0
15.25,161.8,168.3,174.5
15.5,162.5,168.5,175.0
15.75,163.3,168.8,175.5
16.0,164.0,169.0,176.0
16.25,164.3,169.4,176.3
16.5,164.5,169.8,176.5
16.75,164.8,170.1,176.8
17.0,165.0,170.5,177.0
17.25,165.3,170.6,177.3
17.5,165.5,170.8,177.5
17.75,165.8,170.9,177.8
18.0,166.0,171.0,178.0
